|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |199|030-006|ТП № 2 ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ОКТЯБРЬСКОМ Р-НЕ Г. УЛАН-УДЭ| |
 |200|030-007|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В СОВЕТСКОМ Р-НЕ Г. УЛАН-УДЭ| |
 |201|030-008|ТП В ПОС. ЗАРЕЧНЫЙ ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В СОВЕТСКОМ Р-НЕ Г. УЛАН-УДЭ| |
 |202|030-009|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В БАГУЗИНСКОМ Р-НЕ| |
 |203|030-010|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В П. УСТЬ-БАРГУЗИН| |
 |204|030-011|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В БАУНТОВСКОМ Р-НЕ| |
 |205|030-012|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В БИЧУРСКОМ Р-НЕ| |
 |206|030-013|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ДЖИДИНСКОМ Р-НЕ| |
 |207|030-014|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ПОС. ДЖИДА|30.03.2012|
 |208|030-015|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ЕРАВНИНСКОМ Р-НЕ| |
 |209|030-016|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ЗАИГРАЕВСКОМ Р-НЕ| |
 |210|030-017|ТП В ПОС. ОНОХОЙ О-НИЯ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЗАИГРАЕВСКОМ Р-НЕ|30.03.2012|
 |211|030-018|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ЗАКАМЕНСКОМ Р-НЕ| |
 |212|030-019|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ИВОЛГИНСКОМ Р-НЕ| |
 |213|030-020|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КАБАНСКОМ Р-НЕ| |
 |214|030-021|ТП В Г. БАБУШКИН ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КАБАНСКОМ Р-НЕ| |
 |215|030-022|ТП В ПГТ. СЕЛЕНГИНСК ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КАБАНСКОМ Р-НЕ| |
 |216|030-023|ТП В С. КУДАРА О-НИЯ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КАБАНСКОМ Р-НЕ| |
 |217|030-023|ТП В П. КУДАРА ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КАБАНСКОМ Р-НЕ|01.01.2012|
 |218|030-024|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КИЖИНГИНСКОМ Р-НЕ| |
 |219|030-025|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КУРУМКАНСКОМ Р-НЕ| |
 |220|030-026|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В КЯХТИНСКОМ Р-НЕ| |
 |221|030-027|ТП В ПОС. КУДАРА-СОМОН О-НИЯ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КЯХТИНСКОМ Р-НЕ| |
 |222|030-028|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В МУЙСКОМ Р-НЕ| |
 |223|030-029|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ПОС. СЕВЕРОМУЙСК| |
 |224|030-030|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В МУХОРШИБИРСКОМ Р-НЕ| |
 |225|030-031|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В П.САГАН-НУР| |
 |226|030-032|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ОКИНСКОМ Р-НЕ| |
 |227|030-033|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ПРИБАЙКАЛЬСКОМ Р-НЕ| |
 |228|030-034|ТП ПОС. ИЛЬИНКА ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ПРИБАЙКАЛЬСКОМ Р-НЕ| |
 |229|030-035|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В СЕВЕРОБАЙКАЛЬСКОМ Р-НЕ В ПГТ. НИЖНЕАНГАРСК| |
 |230|030-036|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В П. НОВЫЙ-УОЯН| |
 |231|030-037|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В Г. СЕВЕРОБАЙКАЛЬСК| |
 |232|030-038|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В СЕЛЕНГИНСКОМ Р-НЕ| |
 |233|030-039|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ТАРБАГАТАЙСКОМ Р-НЕ| |
 |234|030-040|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ТУНКИНСКОМ Р-НЕ| |
 |235|030-041|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ХОРИНСКОМ Р-НЕ| |
 |236|031-001|МВД РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |237|031-022|ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, РАЗРЕШЕНИЙ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН| |
 |238|032-001|ОВД СОВЕТСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |239|032-002|ОВД ЖЕЛЕЗНОДОРОЖНОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |240|032-003|ОВД ОКТЯБРЬСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |241|032-004|ОВД БАРГУЗИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |242|032-005|ОВД БАУНТОВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |243|032-006|ОВД БИЧУРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |244|032-007|ОВД ДЖИДИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |245|032-008|ОВД ЕРАВНИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |246|032-009|ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |247|032-010|ОВД ЗАКАМЕНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |248|032-011|ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |249|032-012|ОВД КИЖИНГИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |250|032-013|ОВД КУРУМКАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |251|032-014|ОВД КЯХТИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |252|032-015|ОВД МУЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |253|032-016|ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |254|032-017|ОВД ОКИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |255|032-018|ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |256|032-019|ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |257|032-020|ОВД Г. СЕВЕРОБАЙКАЛЬСКА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |258|032-021|СЕЛЕНГИНСКИЙ ГРОВД РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |259|032-022|ОВД ТУНКИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |260|032-023|ОВД ИВОЛГИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |261|032-024|ОВД ТАРБАГАТАЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |262|032-025|ОВД ХОРИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |263|033-001|ЗАГОРСКОЕ ОМ ОВД ЖЕЛЕЗНОДОРОЖНОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |264|033-002|ЗАРЕЧНОЕ ОМ ОВД СОВЕТСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |265|033-003|ОКТЯБРЬСКОЕ ОМ ОВД ОКТЯБРЬСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |266|033-005|УСТЬ-БАРГУЗИНСКИЙ ОМ ОВД БАРГУЗИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |267|033-006|ДЖИДИНСКОЕ ОМ ОВД ДЖИДИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |268|033-007|НОВОИЛЬИНСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |269|033-008|ОНОХОЙСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |270|033-009|БАБУШКИНСКОЕ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |271|033-010|БАЙКАЛО-КУДАРИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |272|033-011|СЕЛЕНГИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |273|033-012|КУДАРА-СОМОНСКИЙ ОМ ОВД КЯХТИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |274|033-013|СЕВЕРО-МУЙСКИЙ ОМ ОВД МУЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |275|033-014|ИЛЬИНСКИЙ ОМ ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |276|033-015|НОВО-УОЯНСКИЙ ОМ ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |277|033-016|СЕЛЕНДУМСКИЙ ОМ СЕЛЕНГИНСКОГО ГРОВД РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |278|033-017|САГАН-НУРСКОЕ ОМ ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |279|033-018|ОВД УЛАН-УДЭ-35 РЕСПУБЛИКИ БУРЯТИЯ|01.01.2006|
 |280|033-019|2 ОМ АДМИНИСТРАТИВНОГО ОКРУГА ЗАСПРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ|01.04.2007|
 |281|033-019|2 ОМ Заиграевского ОВД Республики Бурятия|01.01.2007|
 |282|033-020|ОВД Г.УЛАН-УДЭ-35 РЕСПУБЛИКИ БУРЯТИЯ| |
 |283|033-020|ОВД ГОР. УЛАН-УДЭ-35 РЕСПУБЛИКИ БУРЯТИЯ| |
 |284|040-001|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В Г.ГОРНО-АЛТАЙСКЕ| |
 |285|040-002|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В МАЙМИНСКОМ Р-НЕ| |
 |286|040-003|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В ЧОЙСКОМ Р-НЕ| |
 |287|040-004|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В ТУРОЧАКСКОМ Р-НЕ| |
 |288|040-005|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В ЧЕМАЛЬСКОМ Р-НЕ| |
 |289|040-006|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В ШЕБАЛИНСКОМ Р-НЕ| |
 |290|040-007|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В ОНГУДАЙСКОМ Р-НЕ| |
 |291|040-008|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УСТЬ-КАНСКОМ Р-НЕ| |
 |292|040-009|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УСТЬ-КОКСИНСКОМ Р-НЕ| |
 |293|040-010|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ| |
 |294|040-011|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ| |
 |295|040-012|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В КОШ-АГАЧСКОМ Р-НЕ| |
 |296|040-013|ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ| |
 |297|041-001|МВД РЕСПУБЛИКИ АЛТАЙ| |
 |298|042-001|ГОРНО-АЛТАЙСКИЙ ГОВД РЕСПУБЛИКИ АЛТАЙ| |
 |299|042-002|МАЙМИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |300|042-003|ЧОЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |301|042-004|ТУРОЧАКСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |302|042-005|ЧЕМАЛЬСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |303|042-006|ШЕБАЛИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |304|042-007|ОНГУДАЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |305|042-008|УСТЬ-КАНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ.| |
 |306|042-009|УСТЬ-КОКСИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |307|042-010|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ| |
 |308|042-010|УЛАГАНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |309|042-011|КОШ-АГАЧСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ| |
 |310|043-001|АКТАШСКОЕ ОМ РЕСПУБЛИКИ АЛТАЙ| |
 |311|043-001|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ| |
 |312|050-001|УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |313|050-001|ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |314|050-001|ОТДЕЛ ПО ВОПРОСАМ ГРАЖДАНСТВА, РАБОТЫ С ИНОСТРАННЫМИ ГРАЖДАНАМИ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |315|050-001|ОТДЕЛ ИММИГРАЦИОННОГО КОНТРОЛЯ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |316|050-001|ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ, СОДЕЙСТВИЯ ИНТЕГРАЦИИ, ПЕРЕСЕЛЕНЦЕВ И БЕЖЕНЦЕВ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |317|050-001|ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |318|050-001|ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ УФМС РФ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |319|050-001|ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ| |
 |320|050-001|ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН| |
 |321|050-001|ОТДЕЛ ИММИГРАЦИОННОГО КОНТРОЛЯ| |
 |322|050-001|ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ| |
 |323|050-001|ОТДЕЛ ПО ВОПРОСАМ ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ И БЕЖЕНЦЕВ| |
 |324|050-001|ОТДЕЛ ПО ВОПРОСАМ ГРАЖДАНСТВА, ОФОРМЛЕНИЯ РАЗРЕШЕНИЙ НА ВРЕМЕННОЕ ПРОЖИВАНИЕ И ВИДОВ НА ЖИТЕЛЬСТВО| |
 |325|050-001|ОТДЕЛ ОБЕСПЕЧЕНИЯ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ| |
 |326|050-001|УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН| |
 |327|050-002|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕНИНСКОМ Р-НЕ Г. МАХАЧКАЛЫ| |
 |328|050-002|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕНИНСКОМ Р-НЕ Г. МАХАЧКАЛЫ| |
 |329|050-003|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В СОВЕТСКОМ Р-НЕ Г. МАХАЧКАЛЫ| |
 |330|050-004|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КИРОВСКОМ Р-НЕ Г. МАХАЧКАЛЫ| |
 |331|050-005|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. БУЙНАКСКЕ| |
 |332|050-006|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ДЕРБЕНТЕ| |
 |333|050-007|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ| |
 |334|050-008|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КАСПИЙСКЕ| |
 |335|050-008|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КАСПИЙСКЕ| |
 |336|050-009|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КИЗИЛЮРТЕ| |
 |337|050-009|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КИЗИЛЮРТЕ| |
 |338|050-010|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КИЗЛЯРЕ| |
 |339|050-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. КИЗЛЯРЕ| |
 |340|050-011|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ХАСАВЮРТЕ| |
 |341|050-012|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ЮЖНО-СУХОКУМСКЕ| |
 |342|050-013|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ДАГЕСТАНСКИЕ ОГНИ| |
 |343|050-013|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ДАГ. ОГНИ| |
 |344|050-014|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В С. ТПИГ (АГУЛЬСКИЙ Р-Н)| |
 |345|050-014|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В АГУЛЬСКОМ Р-НЕ| |
 |346|050-015|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В АКУШИНСКОМ Р-НЕ| |
 |347|050-016|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В АХВАХСКОМ Р-НЕ| |
 |348|050-017|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В С. АХТЫ (АХТЫНСКИЙ Р-Н)| |
 |349|050-017|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В АХТЫНСКОМ Р-НЕ| |
 |350|050-018|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В БАБАЮРТОВСКОМ Р-НЕ| |
 |351|050-018|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В БАБАЮРТОВСКОМ Р-НЕ| |
 |352|050-019|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН БОТЛИХСКОМ Р-НЕ| |
 |353|050-020|ТП УФМС РОССИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ГЕРГЕБИЛЬСКОМ Р-НЕ| |
 |354|050-021|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ГУМБЕТОВСКОМ Р-НЕ| |
 |355|050-022|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ГУНИБСКОМ Р-НЕ| |
 |356|050-023|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ДАХАДАЕВСКОМ РАЙОНЕ МЕЖРАЙОННОГО ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ| |
 |357|050-023|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ДАХАДАЕВСКОМ Р-НЕ| |
 |358|050-024|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В С. УСУХЧАЙ (ДОКУЗПАРИНСКИЙ Р-Н)| |
 |359|050-024|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ДОКУЗПАРИНСКОМ Р-НЕ| |
 |360|050-025|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАЗБЕКОВСКОМ Р-НЕ| |
 |361|050-026|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАЙТАГСКОМ Р-НЕ МЕЖРАЙОННОГО ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ| |
 |362|050-026|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАЙТАГСКОМ Р-НЕ| |
 |363|050-027|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАРАБУДАХКЕНТСКОМ Р-НЕ МЕЖРАЙОННОГО ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ| |
 |364|050-027|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАРАБУДАХКЕНТСКОМ Р-НЕ| |
 |365|050-028|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАЯКЕНТСКОМ Р-НЕ МЕЖРАЙОННОГО ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ| |
 |366|050-028|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КАЯКЕНТСКОМ Р-НЕ| |
 |367|050-029|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КУЛИНСКОМ Р-НЕ| |
 |368|050-030|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КУМТОРКАЛИНСКОМ Р-НЕ| |
 |369|050-031|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В С. КУРАХ (КУРАХСКИЙ Р-Н)| |
 |370|050-031|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КУРАХСКОМ Р-НЕ| |
 |371|050-032|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛАКСКОМ Р-НЕ| |
 |372|050-033|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕВАШИНСКОМ Р-НЕ| |
 |373|050-033|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕВАШИНСКОМ Р-НЕ| |
 |374|050-034|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В С. МАГАРАМКЕНТ| |
 |375|050-034|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В МАГАРАМКЕНТСКОМ Р-НЕ| |
 |376|050-035|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В НОВОЛАКСКОМ Р-НЕ| |
